id,severity,state,title,owner_agent,created_at,closed_at,closing_commits
P0-CRITICAL-001,CRITICAL,RESOLVED,createTenantQueryKey signature inverted in layer-1-react.md (would produce cross-tenant cache bleed via TEACHER output),orchestrator,2026-04-16T14:00:00Z,2026-04-16T18:00:00Z,32839e24
P0-HIGH-002,HIGH,RESOLVED,"Orchestrator routing table missing 13+ repo paths (apps/db-migrate, libs/shared-contracts, scripts/**, docs/**, tools/gates, .claude/skills, CLAUDE.md, etc.)",orchestrator,2026-04-16T14:00:00Z,2026-04-16T18:30:00Z,32839e24|2dd09f99
P0-HIGH-003,HIGH,RESOLVED,"Three primary-ownership conflicts (platform/libs/outbox, libs/backend-common/src/database, libs/backend-common/src/redis) break pair-review invariant",orchestrator,2026-04-16T14:00:00Z,2026-04-16T18:30:00Z,32839e24|2dd09f99
P0-MEDIUM-004,MEDIUM,RESOLVED,CLAUDE.md service count (15) and layer-3-adrs.md misfiled-ADR count (4) drifted from real repo (16 and 5 respectively),orchestrator,2026-04-16T14:00:00Z,2026-04-16T18:30:00Z,32839e24|2dd09f99
P0-HIGH-005,HIGH,RESOLVED,"21 phantom artefacts referenced by agent prompts but missing from repo (tools/gates/*, .claude/skills/*, root-cause-auditor, registry, 5 invariant tests, 2 workflows)",orchestrator,2026-04-16T14:00:00Z,2026-04-17T12:12:08.332Z,b907c235|eb9f4f9d
P0-HIGH-006,HIGH,RESOLVED,"Three parallel agent directories (agents/, agents-enterprise-v2/, test-agents/) with colliding `name:` frontmatter produced undefined dispatch behaviour",orchestrator,2026-04-16T14:00:00Z,2026-04-16T18:15:00Z,f931f935
P0-HIGH-007,HIGH,RESOLVED,10 enterprise-v2 agents exceed the 200-line conversion cap (W3 conversion wave in-flight),prompt-writer,2026-04-16T14:00:00Z,2026-04-17T10:29:07.779Z,87ff9d1f
COMPLIANCE-CRITICAL-001,CRITICAL,OPEN,GDPR Art 17 tenant erasure cascade absent across 10 tenant-data services (was MT-CRITICAL-003; transferred to compliance-expert in Phase 9.1),compliance-expert,2026-04-16T14:00:00Z,,
PROC-MEDIUM-001,MEDIUM,RESOLVED,"Phase 0-7 commit messages used bare ""deferred"" without strict owner+deadline+finding-ID format (caught by banned-phrase gate when activated)",orchestrator,2026-04-16T19:00:00Z,2026-04-16T19:30:00Z,47bea207
PROC-MEDIUM-002,MEDIUM,RESOLVED,Introduced UNVERIFIED actions/setup-node SHA in closes-footer-check.yml (Phase 2 landing commit) — infra-expert supply-chain rule violation,infra-expert,2026-04-17T07:30:00Z,2026-04-17T07:35:00Z,
PROC-MEDIUM-004,MEDIUM,RESOLVED,Pre-existing CI failures on agentic: gitleaks-action v2 missing GITHUB_TOKEN + lighthouse-ci-action SHA 2f8dda0c does not resolve,infra-expert,2026-04-17T08:55:00Z,2026-04-17T09:00:00Z,
PROC-MEDIUM-003,MEDIUM,RESOLVED,"Phase-2 workflow regressions: (a) closes-footer-check.yml bare colon in YAML step name, (b) quality-gates.yml + closes-footer-check.yml missed --legacy-peer-deps convention",infra-expert,2026-04-17T08:10:00Z,2026-04-17T08:15:00Z,
DEPLOY-HIGH-001,HIGH,RESOLVED,DATABASE_SSL=true + REJECT_UNAUTHORIZED=false crashes all 13 services in production,infra-expert,2026-04-17T08:00:00Z,2026-04-17T09:23:22.436Z,0f148dbd
DEPLOY-HIGH-002,HIGH,RESOLVED,NATS 2.10 verify_and_map rejects all client certs — DN format mismatch,infra-expert,2026-04-17T08:30:00Z,2026-04-17T09:23:24.807Z,2d8e6a37
FE-CRITICAL-001,CRITICAL,RESOLVED,Bare TanStack queryKey arrays across web/ produced cross-tenant React Query cache bleed on tenant switch,frontend-expert,2026-04-16T14:00:00Z,2026-04-17T20:00:00Z,955c8caa|cbbd9624|bcb9f38a|a2a345db|63879cb2|a495bc1e
PROC-MEDIUM-005,MEDIUM,RESOLVED,"CI-Affected path filter did not include tools/eslint-rules, tools/gates, tools/scripts — tooling fixes could not self-validate",infra-expert,2026-04-17T18:15:00Z,2026-04-17T18:30:00Z,pending
