
> aquaculture-platform@1.0.0 findings:list
> ts-node --project tools/gates/tsconfig.json tools/gates/finding-registry.ts list --state OPEN

ID                       SEV       STATE  OWNER              TITLE                                                       
-----------------------  --------  -----  -----------------  ------------------------------------------------------------
COMPLIANCE-CRITICAL-001  CRITICAL  OPEN   compliance-expert  GDPR Art 17 tenant erasure cascade absent across 10 tenan...
CLAUDE-CRITICAL-004      CRITICAL  OPEN   prompt-writer      Duplicate primary on apps/*/src/gdpr/** in orchestrator r...
CLAUDE-CRITICAL-005      CRITICAL  OPEN   prompt-writer      Five Lane-B agents have zero dispatch glob (accessibility...
CLAUDE-CRITICAL-006      CRITICAL  OPEN   prompt-writer      Zero tools: frontmatter on any of 58 agent files — WRITER...
CLAUDE-HIGH-005          HIGH      OPEN   prompt-writer      product-audit/orchestrator.md is 261 lines — exceeds the ...
CLAUDE-HIGH-006          HIGH      OPEN   prompt-writer      messaging-expert description overreaches to apps/ai-servi...
CLAUDE-HIGH-007          HIGH      OPEN   prompt-writer      agent-ownership-uniqueness.spec.ts does not scan orchestr...
CLAUDE-HIGH-008          HIGH      OPEN   prompt-writer      orchestrator-routing-coverage.spec.ts lacks reverse roste...
CLAUDE-HIGH-009          HIGH      OPEN   prompt-writer      agent-size-limit.spec.ts explicitly excludes Lane-B — Pha...
CLAUDE-HIGH-010          HIGH      OPEN   prompt-writer      Lane-B rename half-done — output paths still docs/test-au...
CLAUDE-HIGH-011          HIGH      OPEN   prompt-writer      INVOCATION-PACK.md lives in .claude/agents/product-audit/...
CLAUDE-HIGH-012          HIGH      OPEN   prompt-writer      Maintenance agents (prompt-writer, implementation-planner...
CLAUDE-MEDIUM-006        MEDIUM    OPEN   prompt-writer      .claude/settings.json lacks PreToolUse Agent dispatch gate  
CLAUDE-MEDIUM-007        MEDIUM    OPEN   prompt-writer      .claude/worktrees/ not in .gitignore — 7 orphan worktrees...
CLAUDE-MEDIUM-008        MEDIUM    OPEN   prompt-writer      .claude/agents.legacy/README.md lacks top-of-file DO-NOT-...
CLAUDE-MEDIUM-009        MEDIUM    OPEN   prompt-writer      Phase 4.5 root-cause-auditor dispatch is prose-only — no ...
CLAUDE-MEDIUM-010        MEDIUM    OPEN   prompt-writer      No build-validator agent — nx affected --target=build and...
CLAUDE-MEDIUM-011        MEDIUM    OPEN   prompt-writer      .full-review/ state-file accumulation has no cycle-reset ...
CLAUDE-LOW-004           LOW       OPEN   prompt-writer      tenant-cost-attribution-agent filename/name uses -agent s...
CLAUDE-LOW-005           LOW       OPEN   prompt-writer      mcp-expert finding-ID prefix example lacks MCP- namespace   
CLAUDE-LOW-006           LOW       OPEN   prompt-writer      product-audit/architectural-arbiter.md filename does not ...
CLAUDE-LOW-007           LOW       OPEN   prompt-writer      Prose cardinality literals not marker-wrapped in shared p...
CLAUDE-LOW-008           LOW       OPEN   prompt-writer      three-store-invariants.spec.ts not listed in .claude/READ...
INFRA-MEDIUM-014         MEDIUM    OPEN   messaging-expert   message_attachments.is_deleted partial index pending — ne...
INFRA-CRITICAL-029       CRITICAL  OPEN   data-expert        hr-service (453 violations / 22 tables) and admin-api-ser...
INFRA-MEDIUM-014         MEDIUM    OPEN   messaging-expert   message_attachments.is_deleted partial index pending — ne...
INFRA-CRITICAL-029       CRITICAL  OPEN   data-expert        hr-service (453 violations / 22 tables) and admin-api-ser...

27 / 133 entries matched.
